Model,Epsilon,Noise Multiplier,Train Accuracy,Test Accuracy,Gap,F1 Score
Baseline (Non-DP),inf,0.0,0.853358530601419,0.84800796812749,0.005350562473928955,0.6508009153318077
DP (Noise 0.5),7.089021576740895,0.5,0.8313109210264571,0.8327357237715803,-0.0014248027451232437,0.6322090816177545
DP (Noise 1.0),0.7408329275250269,1.0,0.8273655593130429,0.8282868525896414,-0.0009212932765985116,0.5949248120300752
DP (Noise 3.0),0.17114367764573676,3.0,0.8193422186857635,0.8212483399734396,-0.001906121287676088,0.5460370994940978
Regularized+Mixup+EarlyStopping,,0.0,0.8449647741400746,0.8420318725099601,0.002932901630114504,0.6300730835017883
Distilled+TempScaled,,0.0,0.8496891835888934,0.8441567065073041,0.0055324770815893265,0.6676108199971675
